,id,ad_creation_time,ad_creative_bodies,ad_delivery_start_time,ad_delivery_stop_time,bylines,currency,spend,estimated_audience_size,impressions,page_id,page_name,publisher_platforms,lower_bound_spend,upper_bound_spend,lower_bound_impressions,upper_bound_impressions,electorales,silencio
868,542005907189937,2021-04-09,['🔴 Consúltalo aquí 👉: https://bit.ly/3mzcXRi'],2021-04-09,2021-04-10,Carolina Asis,PEN,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '500001', 'upper_bound': '1000000'}","{'lower_bound': '10000', 'upper_bound': '14999'}",117498400158090,Héctor Acuña,['facebook'],0,99,10000,14999.0,True,True
869,966919120803362,2021-04-09,['🔴 Este 11 de abril tú decides\n\n#JuntosSomos1 #HéctorAcuñaAlCongreso #HonestidadYTrabajo #UnCambioConRumbo #TrujilloPeru #Pacasmayo #Huamachuco #Ascope #Virú #Huanchaco'],2021-04-09,2021-04-11,Carolina Asis,PEN,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '500001', 'upper_bound': '1000000'}","{'lower_bound': '5000', 'upper_bound': '5999'}",117498400158090,Héctor Acuña,['facebook'],0,99,5000,5999.0,True,True
870,475214497157666,2021-04-09,['Espectacular cierre de campaña en Requena.\n\nEl Atenas del Ucayali da su respalda a la mujer coraje A1.\n\nEste 11 de abril marca la A y escribe 1 ✍🏻 \n\nCesar Acuña Presidente 2021.\n\n#A1\n#rosioessalud\n#alcongreso'],2021-04-10,2021-04-10,Andy Valdir Enciso Gonzales,PEN,"{'lower_bound': '100', 'upper_bound': '199'}",{'lower_bound': '1000001'},"{'lower_bound': '45000', 'upper_bound': '49999'}",415937438800916,Rosio Torres Salinas,['facebook'],100,199,45000,49999.0,True,True
871,462092385237667,2021-04-09,['Trayectoria política de Eduardo Salhuana y logros concretos para Madre de Dios. #SiempreConMadreDeDios\n#UnCambioConRumbo'],2021-04-09,2021-04-11,Jorge Arturo Salhuana Cavides,PEN,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '50001', 'upper_bound': '100000'}","{'lower_bound': '1000', 'upper_bound': '1999'}",129567737568492,Salhuana al Congreso - App Mdd,['facebook'],0,99,1000,1999.0,True,True
872,489773652156008,2021-04-09,['🔵🔴 ¡CONÓCEME! \nVideo introductorio a la campaña al congreso 2021 de Eduardo Salhuana Cavides.\n#SalhuanaSiempreConMadreDeDios ✊ de'],2021-04-10,2021-04-11,Jorge Arturo Salhuana Cavides,PEN,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '50001', 'upper_bound': '100000'}","{'lower_bound': '2000', 'upper_bound': '2999'}",129567737568492,Salhuana al Congreso - App Mdd,"['facebook', 'instagram']",0,99,2000,2999.0,True,True
873,491195332247915,2021-04-09,"['🔷🔷En nuestro periodo congresal 2001-2006 no sólo se hizo grandes gestiones por Madre de Dios, presentamos nuestra producción legislativa hasta la primera legislatura del 2005. Y para este periodo 2021-2026 tenemos muchos más proyectos en cartera.\n🔷🔷\n#APP #MadreDeDios #SoloUnidosSaldremosAdelante  #SiempreConMadreDeDios     #SalhuanaEsProgreso   #La2EsLaVoz']",2021-04-09,2021-04-11,Jorge Arturo Salhuana Cavides,PEN,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '50001', 'upper_bound': '100000'}","{'lower_bound': '1000', 'upper_bound': '1999'}",129567737568492,Salhuana al Congreso - App Mdd,"['facebook', 'instagram']",0,99,1000,1999.0,True,True
874,294040932361230,2021-04-09,['🔷🔷Un resumen de la marcha de hoy. Gracias a todos los que nos acompañaron. Eduardo Salhuana Cavides (Fuente: Flash Madre de Dios : Noticias) \n🔷🔷\n#APP #MadreDeDios #SoloUnidosSaldremosAdelante  #SiempreConMadreDeDios     #SalhuanaEsProgreso   #La2EsLaVoz'],2021-04-09,2021-04-11,Jorge Arturo Salhuana Cavides,PEN,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '50001', 'upper_bound': '100000'}","{'lower_bound': '1000', 'upper_bound': '1999'}",129567737568492,Salhuana al Congreso - App Mdd,['facebook'],0,99,1000,1999.0,True,True
875,910080623145433,2021-04-09,['🔴 Ayer realicé mi última caminata por cierre de campaña junto a mi amiga Magaly. Gracias por tanto cariño a todos mis amigos del distrito La Esperanza. Me hicieron pasar un hermoso cumpleaños.\n#JuntosSomos1 #HéctorAcuñaAlCongreso #HonestidadYTrabajo #UnCambioConRumbo #TrujilloPeru #Pacasmayo #Huamachuco #Ascope #Virú #Huanchaco'],2021-04-09,2021-04-11,Carolina Asis,PEN,"{'lower_bound': '100', 'upper_bound': '199'}","{'lower_bound': '100001', 'upper_bound': '500000'}","{'lower_bound': '15000', 'upper_bound': '19999'}",117498400158090,Héctor Acuña,['facebook'],100,199,15000,19999.0,True,True
876,314938843297422,2021-04-09,"['📌 Héctor Acuña y Magaly Ruíz trabajarán por un cambio con rumbo. Su experiencia servirá para darle desarrollo e igualdad a nuestra querida región.\nJuntos por el pueblo. Por eso, este 11 de abril marca las dos 🅰️ y escribe el número 1️⃣ y 2️⃣\n#JuntosSomos1 #HéctorAcuñaAlCongreso #MagalyRuíz #GestiónYCompromiso #UnCambioConRumbo #TrujilloPeru #Pacasmayo #Huamachuco #Ascope #Virú #huanchaco']",2021-04-09,2021-04-10,Carolina Asis,PEN,"{'lower_bound': '100', 'upper_bound': '199'}","{'lower_bound': '100001', 'upper_bound': '500000'}","{'lower_bound': '10000', 'upper_bound': '14999'}",117498400158090,Héctor Acuña,['facebook'],100,199,10000,14999.0,True,True
877,807425846538630,2021-04-09,"['🔴 Tengo la experiencia y para el gran cambio de la región y el país. Por eso, este 11 de abril marca la 🅰️ y escribe el 1️⃣.']",2021-04-09,2021-04-11,Carolina Asis,PEN,"{'lower_bound': '0', 'upper_bound': '99'}","{'lower_bound': '500001', 'upper_bound': '1000000'}","{'lower_bound': '10000', 'upper_bound': '14999'}",117498400158090,Héctor Acuña,['facebook'],0,99,10000,14999.0,True,True
