page_id,page_name,disclaimer,amount_spent_pen,number_of_ads
1533235346996708,Wilmer Valverde,Marcareando,15683,77
351653851127,Nano Guerra,Nano Guerra,15289,15
687691121319854,Ernesto Álvarez Miranda,Ernesto Julio Alvarez Miranda,15160,157
102888608247795,Alejandro Cavero,Gabriel Jochamowitz Schwartzmann,15032,186
109789794548552,Juan Matzumura,Frank Antonio Flores Quiñonez,14973,69
100386664728880,Ernesto Zunini,AUGE GROUPCORPORATION SAC,14900,10
1629211737145398,Dr. José Carlos Ordoñez,Dr Jose Carlos Ordoñez,14538,215
362423643572,Alberto Beingolea,Partido Popular Cristiano,14536,50
140765589379192,Pedro Spadaro,Yo apoyo a Pedro Spadaro,14281,80
103770648368639,Konnie Vidaurre,Konnie Vidaurre,14203,67
1470976356522933,Daniel Urresti,Julio Garces Calle,13817,72
102673481661276,Jorge Seminario,Jorge Eduardo Seminario Salazar,13711,45
111816763739659,Digital TV Noticias,Miguel Angel Torobeo Tapia,13711,10
317875174912143,Presidencia del Consejo de Ministros del Perú,These ads ran without a disclaimer,13348,7
1511419165829924,Jose Vega,These ads ran without a disclaimer,13252,22
297909224081530,Despierta Perú,Noticias | Perú Digital,13187,6
110695024106209,Juventud Podemos Perú,Laidy Diana Peceros Espinoza,13119,5
143175009597452,Iván Hernández,Iván Segundino Hernández Carrasco,13046,137
678043585730804,"Ceprebanko - Certificación ""Cajero Bancario y Comercial""",These ads ran without a disclaimer,12924,13
482342095243763,Lucho Molina - Lima,Daniel Salas,12779,67
721209661258478,Felipe Castillo,Luis Felipe Castillo Oliva,12614,150
121759302958701,René Chávez - El Médico del Pueblo,Somos Perú Loreto,12475,82
113162141028968,Integridad,Integridad por el Peru,12013,140
404055736443363,Julián Palacín,Julian Palacin Gutierrez,11664,85
111080984768518,Oscar León,Diana Huancaya Matos,11613,63
808315139283273,Roberto Sánchez,Omar Rubio Santander,11600,23
453889284779859,Tony Angulo,David Dávalos,11598,62
100649128244355,Miguel Pérez-Política y Social,Julissa Victoria Ricopa Pacaya,11493,59
1430609120516628,Gorbak Infantes,Wendy Cesarela Ruiz Rodriguez,11491,49
1538852096428300,Maritza Gil,MARITZA GIL,11408,323
325409054278267,Manolo Praeli,Carlos Manuel Edmundo Praeli Rojas,10957,421
101311221694306,Nil Luna,Luis Felipe Alejandro Luna Morales,10750,6
501738560237334,San Juan de Lurigancho Sin Corrupción,Juntas Vecinales de San Juan de Lurigancho,10488,6
21325533991,Inversor Global,These ads ran without a disclaimer,10484,14
1694440714197793,Pepe Gálvez el Oso,Pepe Galvéz el Oso,10325,167
107202871320408,Jorge Chávez Alvarez,Victoria Nacional,10286,23
162880980862726,Red Hat,These ads ran without a disclaimer,10254,2
319749898114045,Jackpot Party Casino Community,These ads ran without a disclaimer,10112,3
108198570574884,Gustavo Cesti Cardó,Gustavo Guillermo Cesti Cardó,10033,57
964277866947393,Diego Bazán Calderón,Renovación Popular,10028,52
699489483476556,Darwin Espinoza Vargas,Jhaec Darwin Espinoza Vargas,10005,100
531332587225016,Podemos Perú - Piura,Jhonatan Alfredo Flores Cuya,9848,3
103029921716893,Juan Valverde,Juan Carlos Valverde Geldres,9642,191
102138138335502,Pepe Pozo al Congreso,Jose Manuel Pozo García,9607,32
104883417709021,Robinson Gupioc,Laidy Diana Peceros Espinoza,9552,2
109192677992923,Elige tu Lucha,Antonio Javier Bisbal Caceres,9551,242
1193751930654464,Romelia Paredes,Romelia Paredes,9542,19
104628238147151,Sergio Vasquez Coronado,Segundo Sergio Vasquez Coronado,9525,34
101892898786829,Despierta Perú,These ads ran without a disclaimer,9485,1
1607614952838589,Mary Acuña al Congreso,Mary Acuña Peralta,9484,11
34839376970,Infobae,These ads ran without a disclaimer,9431,16
242212052635794,Fernando Meléndez,Andy Valdir Enciso Gonzales,9319,67
196175927619103,Perú sin Censura,Destapes Perú,9205,5
100198778518392,Mg. Luis Gallardo Gálvez,Mery Nataly Gonzales Enriquez,9024,12
102016708354878,Jeri Ramon Ruffner,Siempre San Marcos,8999,57
2155897354682813,Justicia sin corrupción,Prensa Anticorrupción Latam,8929,3
116832580445194,PerúCheck,PERUCHECK,8855,8
214114562821852,Noizz App,These ads ran without a disclaimer,8780,5
161170137278613,Banco de Crédito BCP,These ads ran without a disclaimer,8737,2
100667365286868,Asceli Rabasa 10,Jose Luis Rios Monterrey,8712,37
478791792232903,Daniel Malpartida,Avanza País Callao,8631,26
1413556535603177,Raúl Díaz Pérez,Raul Diaz Perez,8511,104
1573884479501568,Frank Krklec,Frank Krklec Torres,8494,4
149345658977441,Quinto Poder,Ulises Gallegos Ormeño,8451,80
192928358020129,Carlos Calderon - Alcalde de Trujillo,Joaquín Calderón Alarcón,8429,67
109735297111847,Noticias Perú Digital,Juntas Vecinales de San Juan de Lurigancho,8274,5
106180834755385,Donald Torrico Mostajo,Donald Harold Torrico Mostajo,8217,78
