id,ad_creation_time,ad_creative_bodies,ad_delivery_start_time,ad_delivery_stop_time,bylines,currency,spend,estimated_audience_size,impressions,page_id,page_name,publisher_platforms
551416436561300,2022-06-05,['📣 #REENCUENTRO CON MIS AMIGAS DE SIEMPRE EN #SJL\nAPOYANDO A LAS #OLLITAS COMUNES 🙌'],2022-06-05,2022-06-05,Laidy Diana Peceros Espinoza,PEN,"{'lower_bound': '400', 'upper_bound': '499'}",{'lower_bound': '1000001'},"{'lower_bound': '250000', 'upper_bound': '299999'}",101665683225827,José Luna Gálvez - Pepe Luna,"['facebook', 'instagram']"
687508102349712,2022-06-05,['📣 #REENCUENTRO CON MIS AMIGAS DE SIEMPRE EN #SJL\nAPOYANDO A LAS #OLLITAS COMUNES 🙌'],2022-06-05,2022-06-06,Laidy Diana Peceros Espinoza,PEN,"{'lower_bound': '1000', 'upper_bound': '1499'}",{'lower_bound': '1000001'},"{'lower_bound': '500000', 'upper_bound': '599999'}",101665683225827,José Luna Gálvez - Pepe Luna,"['facebook', 'instagram']"
781742996147751,2022-06-04,"['#URGENTE #AFP\n📣 ¡𝐂𝐑𝐎𝐍𝐎𝐆𝐑𝐀𝐌𝐀 𝟒𝐔𝐈𝐓 𝐀𝐅𝐏! \nLas AFP publicaron el calendario para realizar la solicitud de las #4UIT, el orden está sujeto al dígito del DNI y todo inicia el 13 de junio. Desde #PodemosPerú rechazamos los tiempos del cronograma y condenamos la complicidad de la #SBS con los grupos de poder.\n\n🔵🟡 PODEMOS PERÚ ¡SÍ CUMPLE!']",2022-06-04,2022-06-05,Laidy Diana Peceros Espinoza,PEN,"{'lower_bound': '5000', 'upper_bound': '5999'}",{'lower_bound': '1000001'},{'lower_bound': '1000000'},101665683225827,José Luna Gálvez - Pepe Luna,"['facebook', 'instagram']"
339509591641152,2022-06-04,"['#URGENTE \n📣 𝐄𝐋 𝐅𝐈𝐍 𝐃𝐄𝐋 𝐂𝐀́𝐑𝐓𝐄𝐋 𝐅𝐈𝐍𝐀𝐍𝐂𝐈𝐄𝐑𝐎\n✊🏽 ¡𝐏𝐑𝐎𝐌𝐄𝐒𝐀 𝐂𝐔𝐌𝐏𝐋𝐈𝐃𝐀! \nLo hicimos. La #ComisiónDeEconomía aprobó el dictamen de mi proyecto de ley que busca abrir el #mercado #financiero del país y reducir las tasas de interés. Hasta aquí llegó el #oligopolio creado por la gran banca que estaba acostumbrada a operar como un #cártel. Vamos a impulsar una mayor competencia en el sector, involucrando a las #cajas #municipales para mejorar oferta de créditos a micro y pequeñas empresas que generan empleo.\n\n🔵🟡 PODEMOS PERÚ ¡SÍ CUMPLE!']",2022-06-04,2022-06-05,Laidy Diana Peceros Espinoza,PEN,"{'lower_bound': '5000', 'upper_bound': '5999'}",{'lower_bound': '1000001'},"{'lower_bound': '700000', 'upper_bound': '799999'}",101665683225827,José Luna Gálvez - Pepe Luna,"['facebook', 'instagram']"
1025222321446133,2022-06-03,no disponible,2022-06-03,2022-06-03,Martha Gonza Castillo,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '0', 'upper_bound': '999'}",103192204884175,Américo Gonza - Congresista por la Región Cajamarca,['facebook']
1094937187797683,2022-06-02,"['🇵🇪 Fiestas del #Cusco 2022 🏳️\u200d🌈\n\n🔸 Tierra del sol que nos vio nacer, hoy que inicia tu mes jubilar, tengo el honor de rendirte mi saludo como representante de nuestro legado. \n\n🔸 Quiero invitar a mis hermanos cusqueños a festejar con responsabilidad, brindando la mejor calidez y cordialidad a los turistas que llegan de todas partes del mundo con el propósito de ser parte de nuestras costumbres y tradiciones. \n\n¡Haylli Qosqo! 🏳️\u200d🌈👏🏽\n#FiestasdelCusco']",2022-06-02,2022-06-06,Lesly Shessira Tito Ugarte,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '3000', 'upper_bound': '3999'}",101461505259421,Katy Ugarte Congresista de la República por Cusco,['facebook']
822128382509327,2022-06-01,"['#URGENTE \n📣 𝐏𝐄𝐀𝐉𝐄𝐒 𝐂𝐎𝐑𝐑𝐔𝐏𝐓𝐎𝐒 ¡𝐍𝐔𝐍𝐂𝐀 𝐌𝐀́𝐒!\n✊🏽 𝐑𝐄𝐕𝐈𝐒𝐄𝐍 𝐋𝐎𝐒 𝐂𝐎𝐍𝐓𝐑𝐀𝐓𝐎𝐒 ¡𝐀𝐇𝐎𝐑𝐀!\nPor varios años vivimos #secuestrados en nuestra propia #ciudad sin #rutas #alternas y condenados a pagar #peajes #abusivos instalados en gestiones #corruptas. En distritos como #VillaElSalvador y #PuentePiedra los vecinos están obligados a cancelar para poder entrar y salir de sus casas, atentando explícitamente con la libertad al libre tránsito amparado en la Constitución... ¡ESTO NO VA MÁS!\n\n🔵🟡 PODEMOS PERÚ ¡SÍ CUMPLE!']",2022-06-01,2022-06-02,Laidy Diana Peceros Espinoza,PEN,"{'lower_bound': '3000', 'upper_bound': '3499'}",{'lower_bound': '1000001'},{'lower_bound': '1000000'},101665683225827,José Luna Gálvez - Pepe Luna,"['facebook', 'instagram']"
685971852501849,2022-06-01,"['#URGENTE #CTS\n✊🏽 𝐋𝐀𝐒 𝐏𝐑𝐎𝐌𝐄𝐒𝐀𝐒 𝐒𝐄 𝐂𝐔𝐌𝐏𝐋𝐄𝐍\n🎉 ¡𝐋𝐈𝐁𝐄𝐑𝐀𝐂𝐈𝐎́𝐍 𝟏𝟎𝟎% 𝐂𝐓𝐒! \nYa está todo listo para que millones de #peruanos puedan retirar su CTS, en PodemosPerú estamos enfocados en reactivar la #economía #familiar y ayudar al pueblo a sobrevivir a la crisis. El #06DeJunio es la fecha estimada para la liberación del dinero, exigimos a todas las #entidades #financieras a dar las facilidades para que los usuarios que deseen retirar su #plata lo hagan sin problemas. \n\n🔵🟡 PODEMOS PERÚ ¡SÍ CUMPLE!']",2022-06-01,2022-06-02,Laidy Diana Peceros Espinoza,PEN,"{'lower_bound': '3000', 'upper_bound': '3499'}",{'lower_bound': '1000001'},{'lower_bound': '1000000'},101665683225827,José Luna Gálvez - Pepe Luna,"['facebook', 'instagram']"
4947333462032609,2022-06-01,"['#URGENTE #EsNoticia\n📣 ¡𝐀𝐁𝐑𝐈𝐌𝐎𝐒 𝐄𝐋 𝐌𝐄𝐑𝐂𝐀𝐃𝐎 𝐅𝐈𝐍𝐀𝐍𝐂𝐈𝐄𝐑𝐎! \nHasta #hoy cuatro #bancos tenían el control absoluto del #sistema #financiero del país, en complicidad con la #SBS secuestraron el mercado e impidieron el ingreso de nuevas entidades bancarias, entre ellos mismos fijaban sus abusivas #tasas de #interés atentando contra la #economía del #pueblo. Esto llegó a su fin, con la aprobación de mi proyecto de ley en la #ComisiónDeEconomía le daremos la oportunidad a las #cajas #municipales para competir y ofrecer productos de banca... Esto repercutirá en una mejor oferta para los consumidores y usuarios peruanos… ¡LLEGÓ EL FIN DEL CÁRTEL FINANCIERO!\n\n📃 Todos los detalles del PL aquí 👉🏽 https://wb2server.congreso.gob.pe/spley-portal-service/archivo/MzI4MA==/pdf/PL07820210826- \n\n🔵🟡 PODEMOS PERÚ ¡SÍ CUMPLE!']",2022-06-01,2022-06-02,Laidy Diana Peceros Espinoza,PEN,"{'lower_bound': '3000', 'upper_bound': '3499'}",{'lower_bound': '1000001'},{'lower_bound': '1000000'},101665683225827,José Luna Gálvez - Pepe Luna,"['facebook', 'instagram']"
5190601454393499,2022-06-01,"['#AFP\n📣 𝐃𝐄𝐋 𝟐𝟎𝟏𝟓 𝐀𝐋 𝟐𝟎𝟐𝟐 \n✊🏽 ¡𝐋𝐀 𝐇𝐈𝐒𝐓𝐎𝐑𝐈𝐀 𝐃𝐄 𝐋𝐀 𝐋𝐔𝐂𝐇𝐀 𝐃𝐄𝐋 𝐏𝐔𝐄𝐁𝐋𝐎!\nLo que prometemos, lo cumplimos. Esa es nuestra forma de hacer #política. Seguiremos luchando por hacer realidad la #agenda #social, priorizando los verdaderos intereses del #pueblo en medio de esta crisis que golpea a los que menos tienen. \n#AFPnoMeRobes\n\n🔵🟡 PODEMOS PERÚ ¡SÍ CUMPLE!']",2022-06-01,2022-06-02,Laidy Diana Peceros Espinoza,PEN,"{'lower_bound': '1500', 'upper_bound': '1999'}",{'lower_bound': '1000001'},"{'lower_bound': '450000', 'upper_bound': '499999'}",101665683225827,José Luna Gálvez - Pepe Luna,"['facebook', 'instagram']"
