,id,ad_creation_time,ad_creative_bodies,ad_delivery_start_time,ad_delivery_stop_time,bylines,currency,spend,estimated_audience_size,impressions,page_id,page_name,publisher_platforms,lower_bound_spend,upper_bound_spend,lower_bound_impressions,upper_bound_impressions,electorales,silencio
1104,371786654272016,2021-04-09,"['No solo vivimos una grave crisis sanitaria, sino también económica. Según IPE, nuestro plan económico cumple con el mayor número de criterios para la competitividad y desarrollo del Perú. https://bit.ly/3sUohtJ']",2021-04-10,2021-04-11,Influentics,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '35000', 'upper_bound': '39999'}",1574929139448723,Julio Guzmán,['facebook'],0,99,35000,39999.0,True,True
1105,768276337165437,2021-04-09,"['Anoche, en una entrevista con @julianaoxenford, tuve la oportunidad de exponer las propuestas del @partidomorado y de aclarar que no soy ningún mantenido, sino un economista que ha trabajado y estudiado toda su vida y que hoy lidera el partido con el plan de gobierno más serio.', 'Anoche, en una entrevista con @[349307091802010:Juliana Oxenford - Periodista], tuve la oportunidad de exponer las propuestas del @[621812997939276:Partido Morado] y de aclarar que no soy ningún mantenido, sino un economista que ha trabajado y estudiado toda su vida y que hoy lidera el partido con el plan de gobierno más serio.']",2021-04-10,2021-04-11,Influentics,PEN,"{'lower_bound': '100', 'upper_bound': '199'}",{'lower_bound': '1000001'},"{'lower_bound': '35000', 'upper_bound': '39999'}",1574929139448723,Julio Guzmán,['facebook'],100,199,35000,39999.0,True,True
1106,198429511812463,2021-04-09,"['Los duros tiempos que vivimos demandan mucha prudencia fiscal, sobre todo, para poder financiar otras medidas y programas públicos. En el 2020, el presupuesto asignado al Congreso ascendió a más de S/600 millones. Acá te explico lo que proponemos al respecto. \n\n#PropuestasMoradas']",2021-04-10,2021-04-11,Influentics,PEN,"{'lower_bound': '200', 'upper_bound': '299'}",{'lower_bound': '1000001'},"{'lower_bound': '90000', 'upper_bound': '99999'}",1574929139448723,Julio Guzmán,['facebook'],200,299,90000,99999.0,True,True
1107,155690613110505,2021-04-09,"['No es posible que en medio de la peor crisis sanitaria y económica de nuestra historia, algunos candidatos como el señor López Aliaga lean un papel. Es una falta de respeto al elector peruano que espera un mínimo de preparación de sus postulantes. \n\n#VotaMorado #JulioPresidente']",2021-04-10,2021-04-11,Influentics,PEN,"{'lower_bound': '200', 'upper_bound': '299'}",{'lower_bound': '1000001'},"{'lower_bound': '70000', 'upper_bound': '79999'}",1574929139448723,Julio Guzmán,['facebook'],200,299,70000,79999.0,True,True
1108,787173778588651,2021-04-09,"['Ante la amenaza de los extremos populistas, tenemos un plan responsable, serio y pensando en el Perú para salir de la crisis causada por el coronavirus. Te invito a escuchar nuestras propuestas en #AlEstiloJuliana.']",2021-04-10,2021-04-12,Influentics,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '5000', 'upper_bound': '5999'}",1574929139448723,Julio Guzmán,['facebook'],0,99,5000,5999.0,True,True
1109,779498912686960,2021-04-09,"['Hoy, más que nunca, la política genera sentimientos de rechazo en los ciudadanos. Indignación, cansancio y hartazgo. Esto no debería sorprender a nadie: en la peor crisis de la historia, cuando más necesitamos de nuestros gobernantes, ellos nos abandonaron y traicionaron. Lo último que la gente quiere hacer hoy es pensar por quién votar.\n\nEn todos estos años, los políticos de siempre han puesto sus intereses personales al centro. Los lobbies estuvieron al centro. Las negociaciones bajo la mesa estuvieron al centro. La impunidad estuvo al centro. Los ciudadanos quedamos a un lado, en un rincón, olvidados. Los funcionarios y terceros que decidieron vacunarse a escondidas y antes que todos los demás, incluso antes del personal que lucha día a día en primera línea siendo protegidos, únicamente, por una mascarilla, es el más claro ejemplo de este problema. \n\nEs hora de que la gente sea lo más importante de este país. Es hora de hacer una política diferente: donde pongamos las necesidades de la gente al centro, la educación de sus hijos al centro, el bienestar de tu negocio al centro, tu salud y la de tus seres queridos al centro. Porque lo más importante siempre va al centro y ese es el lugar que todas las ciudadanas y ciudadanos del Perú merecen. \n\nTe presentamos la plancha presidencial del Partido Morado: Julio Guzmán, Flor Pablo y tú al centro.\n\nPARTIDO MORADO\nTÚ AL CENTRO', 'Es hora de que la gente sea lo más importante de este país. Es hora de hacer una política diferente: donde pongamos las necesidades de la gente al centro, la educación de sus hijos al centro, el bienestar de tu negocio al centro, tu salud y la de tus seres queridos al centro. \n\n#TuAlCentro']",2021-04-10,2021-04-12,Influentics,PEN,"{'lower_bound': '300', 'upper_bound': '399'}",{'lower_bound': '1000001'},"{'lower_bound': '125000', 'upper_bound': '149999'}",1574929139448723,Julio Guzmán,['facebook'],300,399,125000,149999.0,True,True
1110,1969662533193080,2021-04-09,"['Comparto mi entrevista completa con Nicolás Lúcar en Exitosa Noticias\n\nEste 11 de abril, marca tres veces la ⭕ para un #FuturoSeguro #OllantaPresidente2021 #OllantaHumala']",2021-04-10,2021-04-11,Lady Johanna Bermudez Lopez,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '5000', 'upper_bound': '5999'}",47446118027,Ollanta Humala Tasso,['facebook'],0,99,5000,5999.0,True,True
1111,1358966187802833,2021-04-09,"['Este es un mensaje para todos los peruanos, especialmente para los indecisos, para los que están pensando en votar en blanco y para los jóvenes. Este domingo 11 de abril, marquemos las tres ⭕️🖊⭕️🖊⭕️🖊\n#OllantaPresidente2021']",2021-04-10,2021-04-11,Lady Johanna Bermudez Lopez,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '4000', 'upper_bound': '4999'}",47446118027,Ollanta Humala Tasso,"['facebook', 'instagram']",0,99,4000,4999.0,True,True
1112,877017456551423,2021-04-09,"['Este domingo sabremos cuál es la verdadera encuesta.Las encuestas manipuladas y medios comprados con plata de la corrupción favorecen a la falsa izquierda, ahora  sabrán que el Pueblo Peruano se cansó de más de lo mismo.\nLa Ola patriótica se hace presente en la 2da vuelta Compatriotas! 💪🏻\n#vegapresidente \n#vegaprometeycumple']",2021-04-09,2021-04-11,Angel Vladimir Vega Escudero,PEN,"{'lower_bound': '100', 'upper_bound': '199'}",{'lower_bound': '1000001'},"{'lower_bound': '70000', 'upper_bound': '79999'}",1511419165829924,Jose Vega,"['facebook', 'instagram']",100,199,70000,79999.0,True,True
1113,174816881155325,2021-04-09,"['Solo con la pena de muerte acabaremos con la corrupción en el país, asesinos y violadores de menores inocentes. \n#VegaPresidente\n#AntauroLibertad\n#UnionPorElPeru']",2021-04-10,2021-04-11,Angel Vladimir Vega Escudero,PEN,"{'lower_bound': '200', 'upper_bound': '299'}",{'lower_bound': '1000001'},"{'lower_bound': '35000', 'upper_bound': '39999'}",1511419165829924,Jose Vega,"['facebook', 'instagram']",200,299,35000,39999.0,True,True
1114,2896841513968108,2021-04-09,"['Hago un llamado a todo el pueblo patriota para salvar la crisis de nuestro país. Ya no es posible aceptar en nuestro país gobernantes corruptos, manejados por el poder mediático y las encuestas montesinistas, que pretenden imponernos candidatos para sus beneficios. Es el momento de liberarnos y tener dignidad, votemos por la opción patriótica de unión por el Perú.\n#VegaPresidente\n#AntauroLibertad\n#BelmontAlCongreso\n#IpsosNadieLeCree']",2021-04-09,2021-04-10,Angel Vladimir Vega Escudero,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '10000', 'upper_bound': '14999'}",1511419165829924,Jose Vega,"['facebook', 'instagram']",0,99,10000,14999.0,True,True
1115,282152496820801,2021-04-09,['Comunicado Oficial\n#VegaPresidente\n#AntauroLibertad\n#UnionPorElPeru'],2021-04-10,2021-04-11,no disponible,PEN,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '5000', 'upper_bound': '5999'}",1511419165829924,Jose Vega,"['facebook', 'instagram']",0,99,5000,5999.0,True,True
1116,1115704842240224,2021-04-09,['El país merece salir adelante y superar esta crisis. Nosotros podemos hacerlo. Este 11 de abril marca la ⭕️ de Ollanta y elige #UnFuturoSeguro para el Perú.\n#ollantapresidente2021 #elecciones2021'],2021-04-10,2021-04-12,Lady Johanna Bermudez Lopez,PEN,"{'lower_bound': '300', 'upper_bound': '399'}",{'lower_bound': '1000001'},"{'lower_bound': '150000', 'upper_bound': '174999'}",47446118027,Ollanta Humala Tasso,"['facebook', 'instagram']",300,399,150000,174999.0,True,True
