,id,ad_creation_time,ad_creative_bodies,ad_delivery_start_time,ad_delivery_stop_time,bylines,currency,spend,estimated_audience_size,impressions,page_id,page_name,publisher_platforms,lower_bound_spend,upper_bound_spend,lower_bound_impressions,upper_bound_impressions,electorales,silencio
1625,447617726526913,2021-04-02,['El momento de los nuevos líderes y del pueblo empoderado ha llegado. Nosotros representamos el cambio y de la mano de los peruanos vamos a lograrlo. ¡La #VictoriaNacional es nuestra! 🤜🤛 #ElCambioEsForzay'],2021-04-03,2021-04-09,Victoria Nacional,USD,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '25000', 'upper_bound': '29999'}",129936434473,George Forsyth,"['facebook', 'instagram']",0,99,25000,29999.0,True,False
1626,865043344062338,2021-04-01,['Llegó el momento de unirnos y decirle basta a los mismos de siempre. ¡Juntos lo vamos a lograr! \n#ElCambioEsForzay #VictoriaNacional'],2021-04-01,2021-04-07,Victoria Nacional,USD,"{'lower_bound': '400', 'upper_bound': '499'}",{'lower_bound': '1000001'},"{'lower_bound': '350000', 'upper_bound': '399999'}",129936434473,George Forsyth,"['facebook', 'instagram']",400,499,350000,399999.0,True,False
1627,285465782958174,2021-04-01,['Llegó el momento de unirnos y decirle basta a los mismos de siempre. ¡Juntos lo vamos a lograr! \n#ElCambioEsForzay #VictoriaNacional'],2021-04-01,2021-04-07,Victoria Nacional,USD,"{'lower_bound': '700', 'upper_bound': '799'}",{'lower_bound': '1000001'},"{'lower_bound': '450000', 'upper_bound': '499999'}",129936434473,George Forsyth,"['facebook', 'instagram']",700,799,450000,499999.0,True,False
1628,470763077376929,2021-04-01,['Llegó el momento de unirnos y decirle basta a los mismos de siempre. ¡Juntos lo vamos a lograr! \n#ElCambioEsForzay #VictoriaNacional'],2021-04-01,2021-04-09,Victoria Nacional,USD,"{'lower_bound': '1000', 'upper_bound': '1499'}",{'lower_bound': '1000001'},"{'lower_bound': '600000', 'upper_bound': '699999'}",129936434473,George Forsyth,"['facebook', 'instagram']",1000,1499,600000,699999.0,True,False
1629,771581783745677,2021-04-01,['Llegó el momento de unirnos y decirle basta a los mismos de siempre. ¡Juntos lo vamos a lograr! \n#ElCambioEsForzay #VictoriaNacional'],2021-04-01,2021-04-09,Victoria Nacional,USD,"{'lower_bound': '600', 'upper_bound': '699'}",{'lower_bound': '1000001'},"{'lower_bound': '400000', 'upper_bound': '449999'}",129936434473,George Forsyth,"['facebook', 'instagram']",600,699,400000,449999.0,True,False
1630,501072231058366,2021-03-30,"['Vamos a fortalecer a nuestra Policía Nacional, pero también vamos a reestructurar las leyes que condenan los delitos por robo. No podemos permitir que los peruanos sigan desprotegidos y los delincuentes amparados por la ley. #ElCambioEsForzay']",2021-03-31,2021-04-01,Victoria Nacional,USD,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '6000', 'upper_bound': '6999'}",129936434473,George Forsyth,"['facebook', 'instagram']",0,99,6000,6999.0,True,False
1631,1065775593914008,2021-03-30,"['Necesitamos una reestructuración en el sector salud. La tecnología será una herramienta que se implementará para facilitar procesos y mejorar la atención de los ciudadanos a través de las POSTECS, Postas Tecnológicas. #ElCambioEsForzay']",2021-03-31,2021-04-02,Victoria Nacional,USD,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '0', 'upper_bound': '999'}",129936434473,George Forsyth,"['facebook', 'instagram']",0,99,0,999.0,True,False
1632,199447111626830,2021-03-30,"['Queremos un país con igualdad de oportunidades. Por eso enfatizaremos en el acceso e incentivos a mujeres policías, que permitan el desarrollo de sus carreras para alcanzar altos rangos en la institución. #ElCambioEsForzay']",2021-03-31,2021-04-02,Victoria Nacional,USD,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '2000', 'upper_bound': '2999'}",129936434473,George Forsyth,"['facebook', 'instagram']",0,99,2000,2999.0,True,False
1633,745428949475047,2021-03-30,"['El deporte es una herramienta de cambio. Por eso, vamos a darle el apoyo e inversión que se necesita para ofrecer mayores oportunidades a todos los que ven en las distintas disciplinas, un medio para surgir en nuestro país. #ElCambioEsForzay']",2021-03-31,2021-04-02,Victoria Nacional,USD,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '1000', 'upper_bound': '1999'}",129936434473,George Forsyth,"['facebook', 'instagram']",0,99,1000,1999.0,True,False
1634,4085724091445976,2021-03-30,"['No se consiguen resultados diferentes, haciendo lo mismo de siempre. Tenemos que apostar por el cambio, por caras nuevas e ideas frescas para acabar de una vez por todas, con los viejos problemas que aquejan al Perú. #ElCambioEsForzay']",2021-03-31,2021-04-02,Victoria Nacional,USD,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '0', 'upper_bound': '999'}",129936434473,George Forsyth,"['facebook', 'instagram']",0,99,0,999.0,True,False
1635,903352267166923,2021-03-30,"['Nos comprometemos a acabar con la corrupción del Estado. Esto lo vamos a lograr con la #ConstituciónAnticorrupción, la que nos permitirá dar castigos severos e imprescriptibles a todos los políticos que traicionan al Perú. #ElCambioEsForzay']",2021-03-31,2021-04-02,Victoria Nacional,USD,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '2000', 'upper_bound': '2999'}",129936434473,George Forsyth,"['facebook', 'instagram']",0,99,2000,2999.0,True,False
1636,2752385964975197,2021-03-30,"['Vamos a empoderar a la ciudadanía. Nuestro Gobierno representa al Perú y lo incluye en el desarrollo, porque sabemos que juntos podremos lograr el cambio que queremos para nuestro país. #ElCambioEsForzay']",2021-03-30,2021-04-02,Victoria Nacional,USD,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '2000', 'upper_bound': '2999'}",129936434473,George Forsyth,"['facebook', 'instagram']",0,99,2000,2999.0,True,False
1637,798543810789647,2021-03-30,"['Los políticos de siempre se venden como la solución, cuando son el principal problema. Su tiempo ha terminado. Es el momento de una nueva generación de peruanos que luchamos por cambiar el país. ¿Te unes? 💪. #ElCambioEsForzay']",2021-03-31,2021-04-02,Victoria Nacional,USD,"{'lower_bound': '0', 'upper_bound': '99'}",{'lower_bound': '1000001'},"{'lower_bound': '3000', 'upper_bound': '3999'}",129936434473,George Forsyth,"['facebook', 'instagram']",0,99,3000,3999.0,True,False
