,page_id,page_name,amount_spent_pen
185,956663201099385,"Jorge Meléndez Celis, Gobernador Regional de Loreto.",5784
186,110542577757410,Vota y Vota Bien,5737
187,109091011430956,Ultra Fighter: Supernova,5725
188,114869120240314,Pepe Pajuelo Oliveri,5591
189,319944412781748,Efrey Becerra JP3,5533
190,114155063557959,Jean Pierre Combe Portocarrero,5449
191,397709203763895,Lucho Durán,5440
192,103903134990350,Digital TVGO,5254
193,314495422404390,Podemos Perú - Lambayeque,5197
194,100685622016966,Natalia Taco - Oficial,5189
195,1714025882234497,Iuridicas Escuela,5169
196,117498400158090,Héctor Acuña,5107
197,103548778388958,Gabriela Coaguila,5080
198,181220655403516,Salvador Heresi,5076
199,107850294470186,Marco Zevallos,4990
200,248986568895243,Speechify,4954
201,104273251982523,Elber Requejo - JP,4934
202,165365681856956,José Antonio Alvarado,4916
203,271385249897782,Trujillo 60,4898
204,107204894072263,Ursula Moscoso Martínez,4877
205,106775297428865,Isabel Manrique,4876
206,1593009867670226,Terminantemente Prohibido VOTAR basura,4871
207,354279831422895,Washington Capital,4829
208,1701687773439212,Giancarlo Guido Casassa Sánchez - Alcalde de Surquillo,4829
209,108063927782769,Raquel Medina,4817
210,89660988793,Asociación Paz y Esperanza,4776
211,101645565076595,Enrique Alva,4750
212,224866162757,Carlos Bruce - Techito,4744
213,389976681048925,ECMIA,4725
214,346354539205278,Abel Bolaños - Victoria Nacional Tacna,4725
215,112105850263842,Carlos Anderson,4701
216,761235197258266,Luiz Carlos Reátegui - Frente Esperanza Jesús María 2022,4675
217,102533848285908,Veronica Escobal Ordóñez,4662
218,456858074508608,Jheydi Quiroz Palacios,4641
219,382057815556578,Chino Martínez,4598
220,101876155342702,Asociaciones de Marketing y Publicidad,4566
221,110736538245244,Joaquín Alcalde De Cajamarca,4532
222,103632004923753,Leo Salluca,4520
223,524687577593259,Alejandro Narváez Liceras,4519
224,107507580716294,Leslye Lazo,4517
225,100356711460057,Richar Bacon,4509
226,925099280862495,Joel Parimango,4508
227,100265355096831,Imperio: Rising Civilization,4497
228,103871541689984,Edilberto Salazar Arequipa,4491
229,108231127791397,Edson Flores,4480
230,100257651988705,MediFast L&M,4477
231,1413556535603177,Raúl Díaz Pérez,4461
232,1433417963605140,"Fabiola Morales Castillo, NARRA Y OPINA",4442
233,233943790279421,Jaime Salomón,4425
234,100567791707545,Dr Omar Cuadros,4393
235,59764099683,ESAN Graduate School of Business,4307
236,104646350985692,Peter Jaime,4295
237,197915158409,Amnistía Internacional Perú,4231
238,1165330606976450,Eduardo Azabache,4227
239,1650216218535063,Oceana Perú,4225
240,433251497093145,Dina Calle,4178
241,104889224894359,Katherine Ampuero,4167
242,106854614088402,Pepe Luna Morales,4161
243,1691960551107938,Dra Arcelia Rojas Salazar,4159
244,501281283413954,Andrés Alcántara Paredes,4151
245,1850708491662790,Jose Ignacio Beteta,4137
246,109019574560600,Aula Gaceta,4111
247,1643625532431014,KAROL Paredes,4100
248,104118211629500,Varinia Moreno Córdova,4044
249,1600213560208605,Municipalidad Provincial de Huánuco,4038
250,106846268009745,Margarita Rodriguez,4033
251,1413556535603177,Raúl Díaz Pérez,4000
252,110030884769294,"Maestro mayor Catemaco ""El Jaguar Negro""",4000
253,102507351695892,Ing. Angel López Panduro,3983
254,107865304679322,Los Amigos de Yonhy Lescano,3982
255,102585367941782,Rafael López Aliaga,3943
256,103568711737392,Carlos Chumpitaz,3943
257,102398671887651,Martin Teixeira,3934
258,101533301762915,Teresa Solano - Junín,3930
259,216284595086378,Dakar Tattoo,3913
260,109669331422877,Carlos Gonzales,3908
261,243790482299542,Grupo AUGE Capacitación Docente,3881
262,2115747855314930,Guillermo Aliaga,3877
263,102098544497318,Alfredo Perez Alcalde 2023,3871
264,1613265342081943,Julio Martinez Garcia,3859
265,544732736023645,Consejo Privado Anticorrupción - CPA,3824
266,116376803134045,Rosangella Barbarán,3814
267,47446118027,Ollanta Humala Tasso,3805
268,996199500463446,Rosa Bautista Al Congreso,3780
269,137727683515281,Cristofer Barrionuevo,3767
270,719853864726295,Mindvalley,3743
271,111946828036314,Lucio Deza,3721
272,101446731993982,Luis Ángel al Congreso 2021,3714
273,123983311020012,Lalo Albarracin,3696
274,114696193780931,Manolo Garcia Correa,3693
275,2214007778856477,Judith Laura - Oficial,3678
276,101221585304943,Manuel Ato,3668
277,105099615091317,Perú La Única Opción,3652
278,105819178511926,Tú eres Gaia,3638
279,100292211941140,Andres Sotil 19,3627
280,113857973395461,Luis Angel Aragón - Congresista de la República,3580
281,103775971899564,Asociación Emprendedores Jóvenes del Perú,3575
282,248491675809603,Zenaida Solís,3567
283,101546698904987,Carlos Paipay Quispe,3528
284,352924605796286,Héctor Espinoza,3517
285,105073931468070,Jorge Del Castillo Pretell,3509
286,1321713074657834,Jorge Nieto Montesinos,3498
287,163612560674668,Mario Quispe,3493
288,104856948415807,Alerta Perú,3490
289,393774177491180,Angelica Apolinario,3473
290,1210480918975729,ExitoFem,3445
291,111942100714385,Lucho Sarango Seminario,3417
292,113716881103703,Juan Carlos Zevallos,3410
293,109721698040967,EnConsulta.pe,3405
294,347630472026862,Jose Gallo,3403
295,101382872505878,Dennis Sánchez,3402
296,128400214531888,PPP Partido Patriótico del Perú,3397
297,996199500463446,Rosa Bautista Al Congreso,3389
298,621241797959966,Martha Baldeon,3387
299,161024241267665,Julio César Silva Meneses - Abogado,3386
300,108289588086058,Comunismo Jamás,3374
301,100692322242812,Mag. Juan Carlos Collado Felix,3365
302,104774481450085,La Mendoza K12,3339
303,1671834356419198,Marco Curi,3326
304,107854269243024,Cámara de Comercio de Lima,3301
305,101486158619208,La MISKI Al  Congreso,3301
306,114428030003661,Alex Flores Ramírez,3279
307,102607718645901,Pepe Luna SJL,3234
308,269977736834906,Juan Enrique Dupuy,3219
309,346829165513127,Compromiso Médico por el Perú,3215
310,107972128106412,Adelante Perú,3203
311,209162673317699,ManoBook,3192
312,455802295156178,Nuestramerica TV,3185
313,101141151981362,JC Mercado,3170
314,105566621000561,Juntos en otra victoria,3161
315,650993505514084,Jherson Atoche Chunga,3108
316,100112368695046,Verdad Milanesa,3106
317,104883417709021,Robinson Gupioc,3099
318,100741848690728,Marlon Alarcón,3079
319,1789685151346147,Gina Galvez,3056
320,104528374283784,Manuel del Águila,3049
321,161405827846629,Juan Manuel García,3049
322,497921403555219,FIELD,3021
