page_id,page_name,number_of_ads,amount_spent_pen
1484332041689680,Roche Perú,84,6848.0
106846268009745,Margarita Rodriguez,28,6802.0
191569760893836,Chirapaq,19,6706.0
101720841658652,Medaly Huaman al Congreso por Ica,37,6563.0
366120717468467,Bancada Podemos Perú,1,6520.0
253615198009828,Anglo American,3,6496.0
107912051341245,Valera Morillo,44,6234.0
236240533617906,Partido Devolucion,64,6155.0
169741473678417,Nico Talavera,146,6145.0
242483566108002,Whetu,73,6106.0
163612560674668,Mario Quispe,77,6058.0
794646070880649,Dr. Vera - Surco,35,6039.0
1648539058728237,Gerardo Saavedra,47,6029.0
112992267268835,"Cambió Trujillo, Cambiará el Perú - CAP Presidente",34,6025.0
107674917831466,Ana Cecilia Garzon,19,6016.0
58895017663,Banco Interamericano de Desarrollo,37,5987.0
104938247754336,Clara BCP,12,5945.0
112652230539548,Preston Melamina,2,5940.0
100372761998126,Enver Flores Ojeda,61,5878.0
59764099683,ESAN Graduate School of Business,48,5875.0
956663201099385,"Jorge Meléndez Celis, Gobernador Regional de Loreto.",89,5784.0
110542577757410,Vota y Vota Bien,16,5737.0
109091011430956,Ultra Fighter: Supernova,14,5725.0
103903134990350,Digital TVGO,12,5724.0
114869120240314,Pepe Pajuelo Oliveri,19,5698.0
271385249897782,Trujillo 60,207,5547.0
319944412781748,Efrey Becerra JP3,39,5533.0
100685622016966,Natalia Taco - Oficial,17,5469.0
114155063557959,Jean Pierre Combe Portocarrero,7,5449.0
397709203763895,Lucho Durán,88,5440.0
165365681856956,José Antonio Alvarado,30,5283.0
103548778388958,Gabriela Coaguila,20,5269.0
314495422404390,Podemos Perú - Lambayeque,2,5197.0
1714025882234497,Iuridicas Escuela,1,5169.0
104273251982523,Elber Requejo - JP,50,5120.0
100257651988705,MediFast L&M,185,5094.0
181220655403516,Salvador Heresi,34,5076.0
107850294470186,Marco Zevallos,24,4990.0
540615902771585,Flor Borja Gutierrez,36,4986.0
455802295156178,Nuestramerica TV,252,4969.0
127832144570884,Hernan Sifuentes,65,4958.0
248986568895243,Speechify,9,4954.0
107204894072263,Ursula Moscoso Martínez,13,4877.0
106775297428865,Isabel Manrique,60,4876.0
1593009867670226,Terminantemente Prohibido VOTAR basura,35,4871.0
1701687773439212,Giancarlo Guido Casassa Sánchez - Alcalde de Surquillo,161,4829.0
354279831422895,Washington Capital,31,4829.0
108063927782769,Raquel Medina,11,4817.0
89660988793,Asociación Paz y Esperanza,87,4776.0
224866162757,Carlos Bruce - Techito,59,4744.0
346354539205278,Abel Bolaños - Victoria Nacional Tacna,167,4725.0
389976681048925,ECMIA,12,4725.0
761235197258266,Luiz Carlos Reátegui - Frente Esperanza Jesús María 2022,24,4675.0
102533848285908,Veronica Escobal Ordóñez,117,4662.0
456858074508608,Jheydi Quiroz Palacios,37,4641.0
113857973395461,Luis Angel Aragón - Congresista de la República,95,4626.0
